206,8.528,1390920295,user_group-2,3.024408,,{'post_tweet': 1.8355751037597656, 'get_tweets': 1.1881909370422363}
207,8.547,1390920296,user_group-2,3.103002,,{'post_tweet': 1.8573639392852783, 'get_tweets': 1.2450239658355713}
208,8.599,1390920296,user_group-2,3.033862,,{'post_tweet': 1.8052780628204346, 'get_tweets': 1.2280120849609375}
209,8.611,1390920296,user_group-2,3.079042,,{'post_tweet': 1.7848501205444336, 'get_tweets': 1.2935941219329834}
210,8.732,1390920296,user_group-2,3.194516,,{'post_tweet': 1.8928959369659424, 'get_tweets': 1.301034927368164}
211,8.745,1390920296,user_group-2,3.102371,,{'post_tweet': 1.882666826248169, 'get_tweets': 1.2191250324249268}
212,8.795,1390920296,user_group-2,3.206465,,{'post_tweet': 1.9409220218658447, 'get_tweets': 1.264930009841919}
213,8.801,1390920296,user_group-1,1.766691,,{'get_tweets': 1.7664239406585693}
214,8.851,1390920296,user_group-2,3.200635,,{'post_tweet': 1.845271110534668, 'get_tweets': 1.3546710014343262}
215,9.012,1390920296,user_group-2,3.302030,,{'post_tweet': 1.9445390701293945, 'get_tweets': 1.3567278385162354}
216,9.034,1390920296,user_group-2,3.379289,,{'post_tweet': 2.001248836517334, 'get_tweets': 1.3774268627166748}
217,9.047,1390920296,user_group-2,3.382516,,{'post_tweet': 2.007662057876587, 'get_tweets': 1.3742990493774414}
218,9.074,1390920296,user_group-1,1.964170,,{'get_tweets': 1.9639220237731934}
219,9.274,1390920296,user_group-2,3.512010,,{'post_tweet': 2.2062060832977295, 'get_tweets': 1.3041229248046875}
220,9.289,1390920296,user_group-2,3.500307,,{'post_tweet': 2.175499200820923, 'get_tweets': 1.3242380619049072}
221,9.325,1390920296,user_group-1,2.036292,,{'get_tweets': 2.0360560417175293}
222,9.448,1390920296,user_group-2,3.622032,,{'post_tweet': 2.1792759895324707, 'get_tweets': 1.4421520233154297}
223,9.463,1390920296,user_group-2,3.588712,,{'post_tweet': 2.1214258670806885, 'get_tweets': 1.466702938079834}
224,9.497,1390920296,user_group-2,3.509762,,{'post_tweet': 2.127807140350342, 'get_tweets': 1.3813679218292236}
