103,1.914,1389793805,user_group-1,0.174742,,{'get_tweets': 0.1745140552520752}
104,1.929,1389793805,user_group-2,0.360109,Bad Response: HTTP 201,{'post_tweet': 0.18262386322021484, 'get_tweets': 0.1768798828125}
105,1.950,1389793805,user_group-2,0.364210,Bad Response: HTTP 201,{'post_tweet': 0.16805601119995117, 'get_tweets': 0.1956179141998291}
106,1.964,1389793806,user_group-2,0.373500,Bad Response: HTTP 201,{'post_tweet': 0.17592501640319824, 'get_tweets': 0.19698691368103027}
107,1.978,1389793806,user_group-2,0.373424,Bad Response: HTTP 201,{'post_tweet': 0.18364596366882324, 'get_tweets': 0.18915796279907227}
108,2.009,1389793806,user_group-2,0.383581,Bad Response: HTTP 201,{'post_tweet': 0.19386816024780273, 'get_tweets': 0.18915700912475586}
109,2.026,1389793806,user_group-2,0.383801,Bad Response: HTTP 201,{'post_tweet': 0.2042529582977295, 'get_tweets': 0.17895984649658203}
110,2.046,1389793806,user_group-1,0.189920,,{'get_tweets': 0.18968892097473145}
111,2.066,1389793806,user_group-2,0.383831,Bad Response: HTTP 201,{'post_tweet': 0.18465209007263184, 'get_tweets': 0.19853901863098145}
112,2.081,1389793806,user_group-2,0.384218,Bad Response: HTTP 201,{'post_tweet': 0.19090485572814941, 'get_tweets': 0.1927330493927002}
113,2.095,1389793806,user_group-2,0.396381,Bad Response: HTTP 201,{'post_tweet': 0.1990818977355957, 'get_tweets': 0.19665884971618652}
114,2.108,1389793806,user_group-2,0.397447,Bad Response: HTTP 201,{'post_tweet': 0.20660996437072754, 'get_tweets': 0.19023990631103516}
115,2.127,1389793806,user_group-2,0.402046,Bad Response: HTTP 201,{'post_tweet': 0.21899890899658203, 'get_tweets': 0.18242788314819336}
116,2.136,1389793806,user_group-1,0.221826,,{'get_tweets': 0.22160887718200684}
117,2.163,1389793806,user_group-2,0.387459,Bad Response: HTTP 201,{'post_tweet': 0.22698211669921875, 'get_tweets': 0.15987300872802734}
118,2.196,1389793806,user_group-2,0.387810,Bad Response: HTTP 201,{'post_tweet': 0.21068096160888672, 'get_tweets': 0.1765139102935791}
119,2.209,1389793806,user_group-2,0.398932,Bad Response: HTTP 201,{'post_tweet': 0.21596503257751465, 'get_tweets': 0.18239688873291016}
120,2.222,1389793806,user_group-1,0.198797,,{'get_tweets': 0.19856595993041992}
121,2.243,1389793806,user_group-2,0.407238,Bad Response: HTTP 201,{'post_tweet': 0.21070599555969238, 'get_tweets': 0.19591188430786133}
122,2.277,1389793806,user_group-2,0.427624,Bad Response: HTTP 201,{'post_tweet': 0.23770809173583984, 'get_tweets': 0.18930792808532715}
123,2.283,1389793806,user_group-1,0.237352,,{'get_tweets': 0.23713088035583496}
124,2.297,1389793806,user_group-2,0.425252,Bad Response: HTTP 201,{'post_tweet': 0.24451112747192383, 'get_tweets': 0.18015098571777344}
125,2.335,1389793806,user_group-1,0.198810,,{'get_tweets': 0.19857382774353027}
126,2.350,1389793806,user_group-2,0.426772,Bad Response: HTTP 201,{'post_tweet': 0.20698809623718262, 'get_tweets': 0.21912479400634766}
127,2.364,1389793806,user_group-2,0.435340,Bad Response: HTTP 201,{'post_tweet': 0.21564102172851562, 'get_tweets': 0.21908307075500488}
128,2.399,1389793806,user_group-2,0.449334,Bad Response: HTTP 201,{'post_tweet': 0.22993898391723633, 'get_tweets': 0.21880507469177246}
129,2.413,1389793806,user_group-2,0.448798,Bad Response: HTTP 201,{'post_tweet': 0.23697996139526367, 'get_tweets': 0.21122407913208008}
130,2.427,1389793806,user_group-2,0.448919,Bad Response: HTTP 201,{'post_tweet': 0.24309897422790527, 'get_tweets': 0.2052299976348877}
131,2.454,1389793806,user_group-2,0.444957,Bad Response: HTTP 201,{'post_tweet': 0.2382798194885254, 'get_tweets': 0.20610594749450684}
132,2.461,1389793806,user_group-1,0.239137,,{'get_tweets': 0.2389070987701416}
133,2.476,1389793806,user_group-2,0.449722,Bad Response: HTTP 201,{'post_tweet': 0.24723386764526367, 'get_tweets': 0.20191693305969238}
134,2.520,1389793806,user_group-2,0.485303,Bad Response: HTTP 201,{'post_tweet': 0.2568700313568115, 'get_tweets': 0.22788691520690918}
135,2.533,1389793806,user_group-1,0.249390,,{'get_tweets': 0.2491471767425537}
136,2.554,1389793806,user_group-2,0.487261,Bad Response: HTTP 201,{'post_tweet': 0.24993109703063965, 'get_tweets': 0.23669886589050293}
137,2.568,1389793806,user_group-2,0.487322,Bad Response: HTTP 201,{'post_tweet': 0.2578928470611572, 'get_tweets': 0.22884893417358398}
138,2.582,1389793806,user_group-2,0.487538,Bad Response: HTTP 201,{'post_tweet': 0.26581883430480957, 'get_tweets': 0.22114801406860352}
139,2.598,1389793806,user_group-2,0.489843,Bad Response: HTTP 201,{'post_tweet': 0.2758011817932129, 'get_tweets': 0.21343302726745605}
140,2.613,1389793806,user_group-2,0.485672,Bad Response: HTTP 201,{'post_tweet': 0.28406715393066406, 'get_tweets': 0.2010340690612793}
141,2.622,1389793806,user_group-1,0.286901,,{'get_tweets': 0.2866709232330322}
142,2.659,1389793806,user_group-2,0.512102,Bad Response: HTTP 201,{'post_tweet': 0.2851719856262207, 'get_tweets': 0.2263340950012207}
143,2.673,1389793806,user_group-2,0.510568,Bad Response: HTTP 201,{'post_tweet': 0.2905540466308594, 'get_tweets': 0.21941709518432617}
144,2.707,1389793806,user_group-2,0.510623,Bad Response: HTTP 201,{'post_tweet': 0.272813081741333, 'get_tweets': 0.237213134765625}
145,2.721,1389793806,user_group-2,0.511988,Bad Response: HTTP 201,{'post_tweet': 0.28087711334228516, 'get_tweets': 0.2305281162261963}
146,2.735,1389793806,user_group-1,0.273442,,{'get_tweets': 0.27316904067993164}
147,2.768,1389793806,user_group-2,0.524284,Bad Response: HTTP 201,{'post_tweet': 0.28525209426879883, 'get_tweets': 0.2384030818939209}
148,2.788,1389793806,user_group-2,0.528974,Bad Response: HTTP 201,{'post_tweet': 0.29430294036865234, 'get_tweets': 0.23408293724060059}
149,2.808,1389793806,user_group-2,0.530900,Bad Response: HTTP 201,{'post_tweet': 0.28144288063049316, 'get_tweets': 0.2488389015197754}
150,2.814,1389793806,user_group-1,0.281475,,{'get_tweets': 0.28124380111694336}
151,2.830,1389793806,user_group-2,0.532551,Bad Response: HTTP 201,{'post_tweet': 0.2899949550628662, 'get_tweets': 0.24193906784057617}
152,2.884,1389793806,user_group-1,0.262343,,{'get_tweets': 0.26212310791015625}
153,2.898,1389793806,user_group-2,0.548841,Bad Response: HTTP 201,{'post_tweet': 0.2675149440765381, 'get_tweets': 0.2807140350341797}
154,2.913,1389793806,user_group-2,0.548161,Bad Response: HTTP 201,{'post_tweet': 0.27395200729370117, 'get_tweets': 0.2736239433288574}
155,2.927,1389793806,user_group-2,0.556174,Bad Response: HTTP 201,{'post_tweet': 0.2822399139404297, 'get_tweets': 0.27338099479675293}
156,2.956,1389793806,user_group-2,0.556563,Bad Response: HTTP 201,{'post_tweet': 0.2760601043701172, 'get_tweets': 0.27991199493408203}
157,2.970,1389793807,user_group-2,0.557191,Bad Response: HTTP 201,{'post_tweet': 0.283660888671875, 'get_tweets': 0.27292799949645996}
158,2.985,1389793807,user_group-2,0.558164,Bad Response: HTTP 201,{'post_tweet': 0.29258012771606445, 'get_tweets': 0.26497602462768555}
159,3.032,1389793807,user_group-2,0.577797,Bad Response: HTTP 201,{'post_tweet': 0.30406904220581055, 'get_tweets': 0.27313804626464844}
160,3.039,1389793807,user_group-1,0.303798,,{'get_tweets': 0.30355119705200195}
161,3.053,1389793807,user_group-2,0.577173,Bad Response: HTTP 201,{'post_tweet': 0.29938316345214844, 'get_tweets': 0.27716708183288574}
162,3.074,1389793807,user_group-2,0.590055,Bad Response: HTTP 201,{'post_tweet': 0.298969030380249, 'get_tweets': 0.2905130386352539}
163,3.094,1389793807,user_group-2,0.573897,Bad Response: HTTP 201,{'post_tweet': 0.2994399070739746, 'get_tweets': 0.2738499641418457}
164,3.107,1389793807,user_group-1,0.291989,,{'get_tweets': 0.29177117347717285}
165,3.137,1389793807,user_group-2,0.583755,Bad Response: HTTP 201,{'post_tweet': 0.3006758689880371, 'get_tweets': 0.28247809410095215}
166,3.151,1389793807,user_group-2,0.582898,Bad Response: HTTP 201,{'post_tweet': 0.3082258701324463, 'get_tweets': 0.27408885955810547}
167,3.167,1389793807,user_group-2,0.584009,Bad Response: HTTP 201,{'post_tweet': 0.317263126373291, 'get_tweets': 0.2661550045013428}
168,3.180,1389793807,user_group-2,0.583865,Bad Response: HTTP 201,{'post_tweet': 0.3244750499725342, 'get_tweets': 0.25882387161254883}
169,3.194,1389793807,user_group-2,0.595886,Bad Response: HTTP 201,{'post_tweet': 0.32599496841430664, 'get_tweets': 0.26930809020996094}
170,3.208,1389793807,user_group-2,0.594812,Bad Response: HTTP 201,{'post_tweet': 0.33147406578063965, 'get_tweets': 0.26270508766174316}
171,3.214,1389793807,user_group-1,0.329421,,{'get_tweets': 0.32919907569885254}
172,3.260,1389793807,user_group-2,0.600412,Bad Response: HTTP 201,{'post_tweet': 0.3249809741973877, 'get_tweets': 0.2746880054473877}
173,3.276,1389793807,user_group-2,0.601898,Bad Response: HTTP 201,{'post_tweet': 0.33330607414245605, 'get_tweets': 0.26799798011779785}
174,3.309,1389793807,user_group-2,0.601889,Bad Response: HTTP 201,{'post_tweet': 0.3138539791107178, 'get_tweets': 0.287431001663208}
175,3.323,1389793807,user_group-2,0.613594,Bad Response: HTTP 201,{'post_tweet': 0.31214308738708496, 'get_tweets': 0.3008229732513428}
